peakId	1_chrom	2_start	3_end	4_type	5_nearestDistanceToTSS	6_nearestTargetTSS
chr1|3672343|3672561	chr1	3672343	3672561	Promoter	954	chr1:3214482-3671498|-|Xkr4-201
chr1|4491702|4494900	chr1	4491702	4494900	Enhancer	3062	chr1:4491713-4496363|-|Sox17-202
chr1|4496898|4497070	chr1	4496898	4497070	Promoter	227	chr1:4491250-4496757|-|Sox17-208
chr1|5916314|5917118	chr1	5916314	5917118	Promoter	682	chr1:5913707-5917398|-|Npbwr1-201
chr1|6441467|6441562	chr1	6441467	6441562	Promoter	218	chr1:6429655-6441296|-|Gm19026-201
chr1|7139744|7140330	chr1	7139744	7140330	Enhancer	3451	chr1:7136199-7136586|-|Gm26983-201
chr1|9298882|9300369	chr1	9298882	9300369	Promoter	0	chr1:8361475-9299238|-|Sntg1-207
chr1|9699368|9699798	chr1	9699368	9699798	Promoter	441	chr1:9669537-9700024|-|Mybl1-202
chr1|9799224|9800978	chr1	9799224	9800978	Enhancer	1958	chr1:9798143-9900845|+|Sgk3-203
chr1|9823141|9823888	chr1	9823141	9823888	Enhancer	11087	chr1:9834498-9834602|-|Gm22607-201
chr1|9825966|9826126	chr1	9825966	9826126	Enhancer	8556	chr1:9834498-9834602|-|Gm22607-201
chr1|9908607|9908729	chr1	9908607	9908729	Promoter	0	chr1:9908638-9922525|+|Mcmdc2-201,chr1:9908668-9940452|+|Mcmdc2-203,chr1:9908670-9942085|+|Mcmdc2-204
chr1|10009029|10009515	chr1	10009029	10009515	Promoter	0	chr1:9968624-10009136|-|Ppp1r42-201
chr1|10210897|10211202	chr1	10210897	10211202	Enhancer	12247	chr1:10197081-10198802|-|Gm37569-201
chr1|11414144|11414295	chr1	11414144	11414295	Promoter	0	chr1:11414269-11601621|+|A830018L16Rik-202
chr1|11565494|11565528	chr1	11565494	11565528	Enhancer	42889	chr1:11608139-11608400|-|Gm29273-201
chr1|13125625|13127587	chr1	13125625	13127587	Promoter	0	chr1:13113457-13127163|-|Prdm14-201
chr1|13188506|13188753	chr1	13188506	13188753	Enhancer	8915	chr1:13177462-13179714|-|Gm38376-201
chr1|13588245|13588794	chr1	13588245	13588794	Enhancer	1390	chr1:13564698-13589910|-|Tram1-201
chr1|13649677|13649864	chr1	13649677	13649864	Enhancer	7022	chr1:13641483-13642748|-|Gm38319-201
chr1|13993957|13994447	chr1	13993957	13994447	Enhancer	61824	chr1:13932378-13932685|+|Gm25491-201
chr1|14503802|14504390	chr1	14503802	14504390	Enhancer	193861	chr1:14168958-14310235|-|Eya1-203
chr1|14755163|14756727	chr1	14755163	14756727	Promoter	0	chr1:14753346-14755990|-|Msc-201,chr1:14755454-14758373|+|Gm9947-201
chr1|18057237|18058887	chr1	18057237	18058887	Promoter	0	chr1:18048100-18058269|-|Gm45784-201
chr1|19096493|19097223	chr1	19096493	19097223	Enhancer	6164	chr1:19103022-19166346|+|Tfap2d-201
chr1|19109200|19111337	chr1	19109200	19111337	Enhancer	5428	chr1:19063300-19104840|-|Gm15825-201
chr1|19209621|19211255	chr1	19209621	19211255	Enhancer	1478	chr1:19208960-19238083|+|Tfap2b-204
chr1|19234172|19234692	chr1	19234172	19234692	Enhancer	8293	chr1:19242725-19243769|+|Gm28340-201
chr1|20912787|20912911	chr1	20912787	20912911	Enhancer	2691	chr1:20915410-20915540|-|Gm24171-201
chr1|20939180|20940468	chr1	20939180	20940468	Enhancer	5887	chr1:20945711-20946914|+|Gm28064-201
chr1|20951053|20952062	chr1	20951053	20952062	Promoter	0	chr1:20951688-20990841|+|Efhc1-201
chr1|21101618|21101990	chr1	21101618	21101990	Enhancer	21690	chr1:21080114-21081748|+|Gm28287-201
chr1|22532998|22534871	chr1	22532998	22534871	Enhancer	206829	chr1:22740764-22741565|+|Gm26866-201
chr1|23325396|23325712	chr1	23325396	23325712	Enhancer	21045	chr1:23345956-23346599|-|Gm20954-201
chr1|23466202|23466751	chr1	23466202	23466751	Enhancer	13062	chr1:23479539-23480527|+|Gm7784-201
