peakId	1_chrom	2_start	3_end	4_type	5_nearestDistanceToTSS	6_nearestTargetTSS
chr1|39978796|39979021	chr1	39978796	39979021	Enhancer	71459	chr1:40049039-40050368|-|4930456G14Rik-201
chr1|52062949|52063069	chr1	52062949	52063069	Enhancer	14252	chr1:52077261-52156087|+|Gm28177-201
chr1|52120336|52122426	chr1	52120336	52122426	Enhancer	1757	chr1:52119624-52160730|+|Stat1-203
chr1|64052100|64052202	chr1	64052100	64052202	Enhancer	9650	chr1:64042438-64042501|-|Mir6899-201
chr1|143772430|143772668	chr1	143772430	143772668	Enhancer	4519	chr1:143750790-143777068|-|Trove2-202
chr1|153414414|153415129	chr1	153414414	153415129	Promoter	538	chr1:153406247-153414233|-|E330020D12Rik-203
chr1|164062351|164062790	chr1	164062351	164062790	Promoter	381	chr1:164062189-164079692|+|Sell-202
chr1|164065275|164066404	chr1	164065275	164066404	Enhancer	3650	chr1:164062189-164079692|+|Sell-202
chr1|171682670|171686546	chr1	171682670	171686546	Enhancer	2598	chr1:171682010-171705256|+|Cd48-202
chr1|179045908|179046514	chr1	179045908	179046514	Enhancer	128597	chr1:178898582-178917614|-|Gm16564-201
chr1|191557275|191557422	chr1	191557275	191557422	Enhancer	18195	chr1:191537365-191575544|-|Dtl-201
chr10|5546653|5546980	chr10	5546653	5546980	Enhancer	3861	chr10:5020917-5550678|-|Syne1-205
chr10|13832643|13832963	chr10	13832643	13832963	Enhancer	36019	chr10:13647669-13868822|-|Aig1-202
chr10|24160331|24160616	chr10	24160331	24160616	Enhancer	11146	chr10:24149327-24190222|+|Stx7-205
chr10|39413272|39413472	chr10	39413272	39413472	Enhancer	11624	chr10:39424618-39424996|-|Gm6963-201
chr10|51526446|51526995	chr10	51526446	51526995	Promoter	380	chr10:51526340-51531161|+|Gm46224-201
chr10|56643099|56644964	chr10	56643099	56644964	Enhancer	12162	chr10:56656194-56656886|+|Gm9795-201
chr10|56714394|56715876	chr10	56714394	56715876	Enhancer	58941	chr10:56656194-56656886|+|Gm9795-201
chr10|56738283|56739572	chr10	56738283	56739572	Enhancer	82733	chr10:56656194-56656886|+|Gm9795-201
chr10|56747494|56749542	chr10	56747494	56749542	Enhancer	80789	chr10:56829086-56829307|-|Gm31931-201
chr10|62530279|62530525	chr10	62530279	62530525	Enhancer	2951	chr10:62493833-62527451|-|Srgn-204
chr10|63247610|63247778	chr10	63247610	63247778	Enhancer	3238	chr10:63250932-63252515|+|Gm19337-201
chr10|76489331|76489534	chr10	76489331	76489534	Enhancer	20318	chr10:76459567-76469114|-|Ybey-201
chr10|83094369|83095090	chr10	83094369	83095090	Enhancer	47308	chr10:83139150-83142038|-|1700025N21Rik-201
chr10|93422038|93422152	chr10	93422038	93422152	Enhancer	11012	chr10:93433107-93433162|+|Mir7688-201
chr10|96173058|96173376	chr10	96173058	96173376	Enhancer	8886	chr10:96164331-96164431|+|Gm22913-201
chr10|98799085|98799240	chr10	98799085	98799240	Enhancer	99452	chr10:98653799-98699710|-|Gm5427-201
chr10|121316473|121316629	chr10	121316473	121316629	Enhancer	5362	chr10:121263820-121311189|-|Tbc1d30-201
chr10|130324237|130325208	chr10	130324237	130325208	Enhancer	1844	chr10:130322878-130362637|+|Tespa1-201
chr11|4783335|4784904	chr11	4783335	4784904	Enhancer	37341	chr11:4736892-4746778|-|Cabp7-201
chr11|12026050|12026132	chr11	12026050	12026132	Enhancer	1880	chr11:11930508-12027971|-|Grb10-203
chr11|34048544|34050162	chr11	34048544	34050162	Enhancer	2185	chr11:34047168-34090224|+|Lcp2-202
chr11|48989434|48990997	chr11	48989434	48990997	Enhancer	2010	chr11:48904658-48992226|-|Gm12185-201
chr11|50149722|50149863	chr11	50149722	50149863	Enhancer	14788	chr11:50134082-50135004|-|Gm12195-201
chr11|54092090|54092854	chr11	54092090	54092854	Enhancer	8452	chr11:54100924-54131652|+|P4ha2-202
chr11|58184958|58186383	chr11	58184958	58186383	Enhancer	2068	chr11:58187739-58189012|+|Gm12250-201
chr11|58200157|58202110	chr11	58200157	58202110	Enhancer	1515	chr11:58199618-58222771|+|Irgm2-201
chr11|58215964|58217511	chr11	58215964	58217511	Enhancer	1709	chr11:58215028-58222779|+|Irgm2-202
chr11|60272044|60272254	chr11	60272044	60272254	Enhancer	30675	chr11:60302707-60302824|-|Gm27711-201
chr11|74493927|74494676	chr11	74493927	74494676	Enhancer	95884	chr11:74383356-74590186|-|Rap1gap2-202
chr11|90548439|90549196	chr11	90548439	90549196	Enhancer	9671	chr11:90538484-90539146|-|Gm11512-201
chr11|90586775|90587609	chr11	90586775	90587609	Enhancer	48046	chr11:90538484-90539146|-|Gm11512-201
chr11|100820252|100822284	chr11	100820252	100822284	Enhancer	1260	chr11:100780731-100822528|-|Stat5b-202
chr11|121518237|121518385	chr11	121518237	121518385	Enhancer	1022	chr11:121510978-121519333|-|Zfp750-201
chr12|104836347|104836480	chr12	104836347	104836480	Enhancer	20957	chr12:104857371-104871535|+|4930408O17Rik-202
chr12|104962429|104962516	chr12	104962429	104962516	Enhancer	35783	chr12:104925501-104926689|-|Gm28875-201
chr13|40898116|40898306	chr13	40898116	40898306	Enhancer	11018	chr13:40887193-40960891|+|Gcnt2-202
chr13|44980739|44982266	chr13	44980739	44982266	Enhancer	20331	chr13:44922075-45001834|-|Dtnbp1-203
chr13|95888727|95888820	chr13	95888727	95888820	Enhancer	3148	chr13:95627177-95891922|-|Iqgap2-201
chr13|109904064|109905948	chr13	109904064	109905948	Enhancer	1197	chr13:109903809-109903888|+|Mir1904-201
chr13|119488592|119490033	chr13	119488592	119490033	Promoter	0	chr13:119488860-119610458|+|Tmem267-201
chr13|119602791|119603353	chr13	119602791	119603353	Enhancer	3578	chr13:119606650-119610458|+|Tmem267-204
chr14|60749972|60750154	chr14	60749972	60750154	Enhancer	17157	chr14:60732906-60764549|+|Spata13-210
chr14|62373955|62374152	chr14	62373955	62374152	Enhancer	41985	chr14:62332068-62372992|+|Rnaseh2b-201
chr14|101560213|101560891	chr14	101560213	101560891	Enhancer	12462	chr14:101572528-101573014|-|Gm34417-201
chr14|118589441|118590508	chr14	118589441	118590508	Enhancer	2497	chr14:118592369-118592472|-|Mir6391-201
chr15|6586446|6586633	chr15	6586446	6586633	Enhancer	6668	chr15:6579871-6663304|+|Fyb-201
chr15|64088435|64090038	chr15	64088435	64090038	Enhancer	9080	chr15:64098317-64101356|+|Gm20717-201
chr15|78326606|78327576	chr15	78326606	78327576	Enhancer	1044	chr15:78326047-78353847|+|Csf2rb-204
chr15|101178065|101178962	chr15	101178065	101178962	Enhancer	4446	chr15:101174067-101213684|+|Acvr1b-201
chr16|34060675|34061315	chr16	34060675	34061315	Enhancer	34992	chr16:33969073-34095987|-|Kalrn-212
chr16|34416855|34419403	chr16	34416855	34419403	Enhancer	38788	chr16:33975495-34456917|-|Kalrn-201
chr16|34449173|34450862	chr16	34449173	34450862	Enhancer	6899	chr16:33975495-34456917|-|Kalrn-201
chr16|34480565|34484211	chr16	34480565	34484211	Enhancer	25471	chr16:33975495-34456917|-|Kalrn-201
chr16|34485535|34487588	chr16	34485535	34487588	Enhancer	27486	chr16:34152024-34514048|-|Kalrn-207
chr16|34759298|34759710	chr16	34759298	34759710	Enhancer	25417	chr16:34784921-35002420|+|Mylk-201
chr16|35564900|35566423	chr16	35564900	35566423	Enhancer	7894	chr16:35573321-35573556|-|Gm5963-201
chr16|35758568|35761772	chr16	35758568	35761772	Enhancer	9186	chr16:35694062-35769356|-|Dirc2-201
chr16|35788153|35789514	chr16	35788153	35789514	Enhancer	18458	chr16:35770375-35825548|+|Hspbap1-202
chr16|36221024|36222749	chr16	36221024	36222749	Promoter	0	chr16:36221468-36257444|+|2010005H15Rik-202,chr16:36221562-36257427|+|2010005H15Rik-203
chr16|36231739|36234443	chr16	36231739	36234443	Enhancer	2606	chr16:36235604-36235697|-|Gm10813-201
chr16|38420430|38420445	chr16	38420430	38420445	Enhancer	12707	chr16:38396117-38433145|-|Pla1a-201
chr16|38510349|38510696	chr16	38510349	38510696	Enhancer	2042	chr16:38512565-38514296|+|Gm15953-201
chr16|38511976|38513517	chr16	38511976	38513517	Promoter	0	chr16:38512565-38514296|+|Gm15953-201
chr16|38575869|38577184	chr16	38575869	38577184	Enhancer	3226	chr16:38569323-38573300|-|Gm17103-201
chr16|38592150|38593768	chr16	38592150	38593768	Enhancer	19659	chr16:38569323-38573300|-|Gm17103-201
chr16|38618646|38620714	chr16	38618646	38620714	Enhancer	46380	chr16:38569323-38573300|-|Gm17103-201
chr16|38632744|38635286	chr16	38632744	38635286	Enhancer	51854	chr16:38685315-38685869|-|Gm15530-201
