peakId	1_chrom	2_start	3_end	4_type	5_nearestDistanceToTSS	6_nearestTargetTSS
chr14|3908101|3908102	chr14	3908101	3908102	Enhancer	15544	chr14:3892557-3920672|+|Gm2916-201
chr14|4335510|4335511	chr14	4335510	4335511	Promoter	747	chr14:4334763-4354688|+|2610042L04Rik-202
chr14|4799780|4799781	chr14	4799780	4799781	Enhancer	6584	chr14:4792713-4793196|-|Gm3091-201
chr14|7441041|7441042	chr14	7441041	7441042	Enhancer	9875	chr14:7440924-7450917|-|Gm3755-201
chr14|7945508|7945509	chr14	7945508	7945509	Enhancer	11779	chr14:7957288-7960636|+|Gm45521-201
chr14|8306292|8306293	chr14	8306292	8306293	Enhancer	3484	chr14:8296274-8309777|-|Fam107a-203
chr14|8482445|8482446	chr14	8482445	8482446	Enhancer	73528	chr14:8408917-8410195|+|Gm8416-201
chr14|8792590|8792591	chr14	8792590	8792591	Enhancer	7744	chr14:8800000-8800335|-|Gm9800-201
chr14|9244276|9244277	chr14	9244276	9244277	Enhancer	156347	chr14:9400624-9459180|+|Gm48370-201
chr14|9327006|9327007	chr14	9327006	9327007	Enhancer	73617	chr14:9400624-9459180|+|Gm48370-201
chr14|11571092|11571093	chr14	11571092	11571093	Enhancer	17560	chr14:11553532-12242041|+|Ptprg-201
chr14|11871640|11871641	chr14	11871640	11871641	Enhancer	4046	chr14:11867594-11870625|+|Gm48601-201
chr14|11906914|11906915	chr14	11906914	11906915	Enhancer	2235	chr14:11904679-11909158|+|Gm48600-201
chr14|12374532|12374533	chr14	12374532	12374533	Promoter	52	chr14:12374585-12384729|+|Gm48239-201
chr14|12435504|12435505	chr14	12435504	12435505	Enhancer	7863	chr14:12427532-12427641|-|n-R5s45-201
chr14|12513910|12513911	chr14	12513910	12513911	Enhancer	86269	chr14:12427532-12427641|-|n-R5s45-201
chr14|12586215|12586216	chr14	12586215	12586216	Enhancer	32452	chr14:12618668-12619241|+|Gm17805-201
chr14|12586236|12586237	chr14	12586236	12586237	Enhancer	32431	chr14:12618668-12619241|+|Gm17805-201
chr14|12692112|12692113	chr14	12692112	12692113	Enhancer	38775	chr14:12653337-12653825|+|Gm18077-201
chr14|12759837|12759838	chr14	12759837	12759838	Enhancer	10712	chr14:12769408-12770550|-|Gm48266-201
chr14|12821046|12821047	chr14	12821046	12821047	Enhancer	1998	chr14:12372586-12823045|-|Cadps-201
chr14|13187013|13187014	chr14	13187013	13187014	Enhancer	16111	chr14:13158574-13170902|-|Gm5087-203
chr14|13457685|13457686	chr14	13457685	13457686	Enhancer	3656	chr14:13454029-13615459|+|Synpr-202
chr14|13490067|13490068	chr14	13490067	13490068	Enhancer	36038	chr14:13454029-13615459|+|Synpr-202
chr14|13528393|13528394	chr14	13528393	13528394	Enhancer	74364	chr14:13454029-13615459|+|Synpr-202
chr14|14579637|14579638	chr14	14579637	14579638	Enhancer	9578	chr14:14585369-14589216|-|Gm47678-201
chr14|15006143|15006144	chr14	15006143	15006144	Enhancer	36025	chr14:15040807-15042169|-|Gm18142-201
chr14|15052953|15052954	chr14	15052953	15052954	Enhancer	10078	chr14:15063032-15065425|+|Gm47743-201
chr14|15272927|15272928	chr14	15272927	15272928	Enhancer	25933	chr14:15298523-15298861|-|Gm47763-201
chr14|15323314|15323315	chr14	15323314	15323315	Enhancer	1440	chr14:15314624-15321874|-|Gm31577-201
chr14|16117628|16117629	chr14	16117628	16117629	Enhancer	53768	chr14:16171397-16172608|+|Gm8517-201
chr14|16561825|16561826	chr14	16561825	16561826	Enhancer	13717	chr14:16430839-16575543|-|Rarb-201
chr14|16758182|16758183	chr14	16758182	16758183	Enhancer	182355	chr14:16431337-16575827|-|Rarb-207
chr14|16965668|16965669	chr14	16965668	16965669	Enhancer	12062	chr14:16953606-16954197|+|Gm18078-201
chr14|17505399|17505400	chr14	17505399	17505400	Enhancer	155496	chr14:17660896-18033792|+|Thrb-203
chr14|18881716|18881717	chr14	18881716	18881717	Enhancer	6724	chr14:18574294-18888441|-|Ube2e2-201
chr14|18991082|18991083	chr14	18991082	18991083	Enhancer	24854	chr14:19014762-19015937|-|Gm6785-201
chr14|19094628|19094629	chr14	19094628	19094629	Enhancer	7838	chr14:19102467-19104133|+|Gm18275-201
chr14|19180401|19180402	chr14	19180401	19180402	Enhancer	20706	chr14:19159695-19164408|+|Gm8584-201
chr14|19379738|19379739	chr14	19379738	19379739	Enhancer	22860	chr14:19401727-19402599|-|Gm9637-201
chr14|19397614|19397615	chr14	19397614	19397615	Enhancer	4984	chr14:19401727-19402599|-|Gm9637-201
chr14|19417721|19417722	chr14	19417721	19417722	Enhancer	1208	chr14:19415857-19418930|-|Gm21738-201
chr14|19615649|19615650	chr14	19615649	19615650	Promoter	519	chr14:19615130-19628632|+|4930469B13Rik-202
chr14|19646494|19646495	chr14	19646494	19646495	Promoter	559	chr14:19646670-19647054|-|Gm48157-201
chr14|20058597|20058598	chr14	20058597	20058598	Promoter	300	chr14:20057852-20058297|-|Gm48339-201
chr14|20429296|20429297	chr14	20429296	20429297	Enhancer	22925	chr14:20394193-20452222|-|Cfap70-203
chr14|20731096|20731097	chr14	20731096	20731097	Promoter	13	chr14:20723737-20731110|-|Ndst2-205
chr14|20831671|20831672	chr14	20831671	20831672	Enhancer	4988	chr14:20836660-20843385|+|Plau-201
chr14|20893102|20893103	chr14	20893102	20893103	Enhancer	36295	chr14:20929398-21033676|+|Vcl-201
chr14|21903003|21903004	chr14	21903003	21903004	Enhancer	13237	chr14:21868630-21889766|-|4931407E12Rik-201
chr14|21993713|21993714	chr14	21993713	21993714	Enhancer	1277	chr14:21992436-21996100|+|C130012C08Rik-201
chr14|22440487|22440488	chr14	22440487	22440488	Enhancer	102310	chr14:22507174-22542798|-|4930405A10Rik-201
chr14|23099237|23099238	chr14	23099237	23099238	Enhancer	4666	chr14:23038194-23094571|-|Gm10248-201
chr14|23587388|23587389	chr14	23587388	23587389	Enhancer	27140	chr14:23560248-23564589|+|Gm29626-202
chr14|23625583|23625584	chr14	23625583	23625584	Enhancer	24605	chr14:23299395-23650189|-|Kcnma1-204
chr14|23697907|23697908	chr14	23697907	23697908	Enhancer	47718	chr14:23299395-23650189|-|Kcnma1-204
chr14|23773726|23773727	chr14	23773726	23773727	Enhancer	29577	chr14:23289431-23803304|-|Kcnma1-207
chr14|23820603|23820604	chr14	23820603	23820604	Enhancer	17299	chr14:23289431-23803304|-|Kcnma1-207
chr14|23861366|23861367	chr14	23861366	23861367	Enhancer	58062	chr14:23289431-23803304|-|Kcnma1-207
chr14|24039725|24039726	chr14	24039725	24039726	Enhancer	30008	chr14:24069734-24070637|+|Gm6158-201
chr14|24055446|24055447	chr14	24055446	24055447	Enhancer	14287	chr14:24069734-24070637|+|Gm6158-201
chr14|24093116|24093117	chr14	24093116	24093117	Enhancer	4239	chr14:24088877-24088930|+|Mir7210-201
chr14|24368002|24368003	chr14	24368002	24368003	Enhancer	9249	chr14:24375653-24377252|-|Gm47774-201
chr14|24837215|24837216	chr14	24837215	24837216	Enhancer	3580	chr14:24833635-24835089|+|Gm47906-201
chr14|24839718|24839719	chr14	24839718	24839719	Enhancer	6083	chr14:24833635-24835089|+|Gm47906-201
chr14|25421833|25421834	chr14	25421833	25421834	Enhancer	19807	chr14:25441641-25453229|+|Gm17747-201
chr14|26294268|26294269	chr14	26294268	26294269	Enhancer	8436	chr14:26302705-26304913|+|Gm18578-201
chr14|27000441|27000442	chr14	27000441	27000442	Promoter	79	chr14:27000362-27002329|+|Hesx1-201
chr14|27253526|27253527	chr14	27253526	27253527	Enhancer	15464	chr14:27238062-27240494|+|Gm49616-201
chr14|27317450|27317451	chr14	27317450	27317451	Enhancer	18615	chr14:27336066-27403911|+|Arhgef3-202
chr14|27750552|27750553	chr14	27750552	27750553	Enhancer	36175	chr14:27714377-27715877|+|Gm18398-201
chr14|27922891|27922892	chr14	27922891	27922892	Enhancer	46674	chr14:27838165-27876217|-|Gm45645-201
chr14|28961340|28961341	chr14	28961340	28961341	Enhancer	8130	chr14:28905247-28969471|-|Cacna2d3-208
chr14|29293211|29293212	chr14	29293211	29293212	Enhancer	22924	chr14:29270287-29270467|+|Gm48005-201
chr14|29523032|29523033	chr14	29523032	29523033	Enhancer	51664	chr14:29574697-29576858|+|Gm48003-202
chr14|29554526|29554527	chr14	29554526	29554527	Enhancer	20170	chr14:29574697-29576858|+|Gm48003-202
chr14|29978792|29978793	chr14	29978792	29978793	Promoter	374	chr14:29978418-30006354|+|Actr8-204
chr14|30005432|30005433	chr14	30005432	30005433	Enhancer	3463	chr14:29996135-30008896|-|Il17rb-202
chr14|30051907|30051908	chr14	30051907	30051908	Enhancer	23556	chr14:30027687-30028351|-|Gm18760-201
chr14|30107110|30107111	chr14	30107110	30107111	Enhancer	78759	chr14:30027687-30028351|-|Gm18760-201
chr14|30321320|30321321	chr14	30321320	30321321	Enhancer	31670	chr14:30040440-30352991|-|Cacna1d-209
chr14|30536247|30536248	chr14	30536247	30536248	Enhancer	12883	chr14:30549131-30574720|+|Tkt-201
chr14|30828712|30828713	chr14	30828712	30828713	Enhancer	3122	chr14:30825590-30877210|+|Tmem110-201
chr14|30852035|30852036	chr14	30852035	30852036	Enhancer	26445	chr14:30825590-30877210|+|Tmem110-201
chr14|30944486|30944487	chr14	30944486	30944487	Enhancer	1197	chr14:30929180-30943289|-|Itih1-202
chr14|31153347|31153348	chr14	31153347	31153348	Enhancer	15293	chr14:31139013-31168641|-|Stab1-201
chr14|31165220|31165221	chr14	31165220	31165221	Enhancer	3420	chr14:31139013-31168641|-|Stab1-201
chr14|31631520|31631521	chr14	31631520	31631521	Enhancer	9357	chr14:31552905-31640878|-|Gm49387-201
chr14|32752130|32752131	chr14	32752130	32752131	Enhancer	33832	chr14:32785963-32817984|+|Tmem273-201
chr14|32788749|32788750	chr14	32788749	32788750	Enhancer	2722	chr14:32786027-32817187|+|Tmem273-202
chr14|32944900|32944901	chr14	32944900	32944901	Enhancer	46481	chr14:32991382-33015291|+|Lrrc18-201
chr14|33757162|33757163	chr14	33757162	33757163	Enhancer	49878	chr14:33804266-33807041|-|Gm49108-201
chr14|34171651|34171652	chr14	34171651	34171652	Promoter	996	chr14:34170655-34171122|+|Rpl23a-ps3-201
chr14|34570869|34570870	chr14	34570869	34570870	Enhancer	17611	chr14:34529458-34588481|-|Ldb3-208
chr14|34660996|34660997	chr14	34660996	34660997	Promoter	710	chr14:34661707-34662704|+|Gm49024-201
chr14|34784178|34784179	chr14	34784178	34784179	Enhancer	14123	chr14:34768956-34770055|-|Gm49032-201
chr14|34912419|34912420	chr14	34912419	34912420	Enhancer	17810	chr14:34894609-34894706|+|Mir346-201
chr14|34971493|34971494	chr14	34971493	34971494	Enhancer	76884	chr14:34894609-34894706|+|Mir346-201
chr14|35273180|35273181	chr14	35273180	35273181	Enhancer	53742	chr14:35219139-35219438|-|Gm49034-201
chr14|35486443|35486444	chr14	35486443	35486444	Enhancer	62682	chr14:35548132-35549126|-|Gm19016-201
chr14|36583412|36583413	chr14	36583412	36583413	Enhancer	28704	chr14:36612117-36612239|+|Gm24394-201
chr14|37172270|37172271	chr14	37172270	37172271	Enhancer	10794	chr14:37182204-37183065|-|Gm18834-201
chr14|37276634|37276635	chr14	37276634	37276635	Enhancer	51765	chr14:37224869-37225001|+|Gm22469-201
chr14|37473823|37473824	chr14	37473823	37473824	Enhancer	5925	chr14:37465822-37467898|-|Gm47971-201
chr14|37718927|37718928	chr14	37718927	37718928	Enhancer	3189	chr14:37722117-37722937|+|Gm5203-201
chr14|37737404|37737405	chr14	37737404	37737405	Enhancer	15287	chr14:37722117-37722937|+|Gm5203-201
chr14|37801551|37801552	chr14	37801551	37801552	Enhancer	79434	chr14:37722117-37722937|+|Gm5203-201
chr14|38000295|38000296	chr14	38000295	38000296	Enhancer	47687	chr14:38047983-38051136|+|Gm47974-201
chr14|38074617|38074618	chr14	38074617	38074618	Promoter	506	chr14:38074111-38074901|+|Gm18523-201
chr14|38269564|38269565	chr14	38269564	38269565	Enhancer	48339	chr14:38317904-38337126|+|Gm31456-201
