peakId	1_chrom	2_start	3_end	4_type	5_nearestDistanceToTSS	6_nearestTargetTSS
chr11|3102500|3102501	chr11	3102500	3102501	Enhancer	23403	chr11:3125904-3129396|+|Pisd-ps1-203
chr11|3112289|3112290	chr11	3112289	3112290	Enhancer	13614	chr11:3125904-3129396|+|Pisd-ps1-203
chr11|3128815|3128816	chr11	3128815	3128816	Enhancer	2809	chr11:3126006-3131004|+|Pisd-ps1-201
chr11|3129105|3129106	chr11	3129105	3129106	Enhancer	3099	chr11:3126006-3131004|+|Pisd-ps1-201
chr11|3129118|3129119	chr11	3129118	3129119	Enhancer	3112	chr11:3126006-3131004|+|Pisd-ps1-201
chr11|3132267|3132268	chr11	3132267	3132268	Enhancer	6261	chr11:3126006-3131004|+|Pisd-ps1-201
chr11|3132415|3132416	chr11	3132415	3132416	Enhancer	6409	chr11:3126006-3131004|+|Pisd-ps1-201
chr11|3132472|3132473	chr11	3132472	3132473	Enhancer	6466	chr11:3126006-3131004|+|Pisd-ps1-201
chr11|3143951|3143952	chr11	3143951	3143952	Enhancer	1903	chr11:3142048-3143363|+|Gm11399-201
chr11|3204046|3204047	chr11	3204046	3204047	Promoter	416	chr11:3203630-3244586|+|Eif4enif1-204
chr11|3230798|3230799	chr11	3230798	3230799	Enhancer	27168	chr11:3203630-3244586|+|Eif4enif1-204
chr11|3296468|3296469	chr11	3296468	3296469	Enhancer	6011	chr11:3290457-3309083|+|Patz1-202
chr11|3303127|3303128	chr11	3303127	3303128	Enhancer	5868	chr11:3308996-3320722|+|Gm11944-201
chr11|3311176|3311177	chr11	3311176	3311177	Enhancer	2180	chr11:3308996-3320722|+|Gm11944-201
chr11|3311693|3311694	chr11	3311693	3311694	Enhancer	2697	chr11:3308996-3320722|+|Gm11944-201
chr11|3329661|3329662	chr11	3329661	3329662	Promoter	739	chr11:3330401-3342971|+|Pik3ip1-201
chr11|3333422|3333423	chr11	3333422	3333423	Enhancer	2244	chr11:3305426-3331178|-|Gm12592-201
chr11|3344721|3344722	chr11	3344721	3344722	Enhancer	10189	chr11:3353573-3354911|-|Gm11948-201
chr11|3355282|3355283	chr11	3355282	3355283	Promoter	371	chr11:3353573-3354911|-|Gm11948-201
chr11|3366079|3366080	chr11	3366079	3366080	Enhancer	5296	chr11:3344256-3371376|-|Limk2-202
chr11|3380087|3380088	chr11	3380087	3380088	Enhancer	8711	chr11:3344256-3371376|-|Limk2-202
chr11|3380105|3380106	chr11	3380105	3380106	Enhancer	8729	chr11:3344256-3371376|-|Limk2-202
chr11|3442801|3442802	chr11	3442801	3442802	Enhancer	9561	chr11:3415982-3452363|-|Rnf185-202
chr11|3445026|3445027	chr11	3445026	3445027	Enhancer	7336	chr11:3415982-3452363|-|Rnf185-202
chr11|3445069|3445070	chr11	3445069	3445070	Enhancer	7293	chr11:3415982-3452363|-|Rnf185-202
chr11|3445191|3445192	chr11	3445191	3445192	Enhancer	7171	chr11:3415982-3452363|-|Rnf185-202
chr11|3445227|3445228	chr11	3445227	3445228	Enhancer	7135	chr11:3415982-3452363|-|Rnf185-202
chr11|3447873|3447874	chr11	3447873	3447874	Enhancer	4489	chr11:3415982-3452363|-|Rnf185-202
chr11|3474357|3474358	chr11	3474357	3474358	Promoter	43	chr11:3474285-3474401|-|Gm24439-201
chr11|3474520|3474521	chr11	3474520	3474521	Promoter	119	chr11:3474285-3474401|-|Gm24439-201
chr11|3482149|3482150	chr11	3482149	3482150	Enhancer	6134	chr11:3488284-3494166|+|Pla2g3-202
chr11|3540129|3540130	chr11	3540129	3540130	Promoter	837	chr11:3517523-3539292|-|Smtn-202
chr11|3548100|3548101	chr11	3548100	3548101	Enhancer	8808	chr11:3517523-3539292|-|Smtn-202
chr11|3558106|3558107	chr11	3558106	3558107	Enhancer	18814	chr11:3517523-3539292|-|Smtn-202
chr11|3574201|3574202	chr11	3574201	3574202	Enhancer	34909	chr11:3517523-3539292|-|Smtn-202
chr11|3575311|3575312	chr11	3575311	3575312	Enhancer	36019	chr11:3517523-3539292|-|Smtn-202
chr11|3575451|3575452	chr11	3575451	3575452	Enhancer	36159	chr11:3517523-3539292|-|Smtn-202
chr11|3622299|3622300	chr11	3622299	3622300	Enhancer	3548	chr11:3625477-3625848|-|Gm11949-201
chr11|3624173|3624174	chr11	3624173	3624174	Enhancer	1674	chr11:3625477-3625848|-|Gm11949-201
chr11|3786626|3786627	chr11	3786626	3786627	Enhancer	2265	chr11:3788892-3788990|+|Gm24013-201
chr11|3787941|3787942	chr11	3787941	3787942	Promoter	950	chr11:3788892-3788990|+|Gm24013-201
chr11|3822830|3822831	chr11	3822830	3822831	Enhancer	33938	chr11:3788892-3788990|+|Gm24013-201
