TSS	#PromoterCpG	#EnhancerCpG	PromoterCpG	EnhancerCpG
chr3:4766098-4766371|+|Gm37801-201	0	1		chr3|4780150
chr3:5750806-5751295|+|Gm8797-201	0	1		chr3|5735956
chr3:6615418-6620443|-|1700008P02Rik-201	0	1		chr3|6629412
chr3:6751704-6752072|-|Olfr289-ps1-201	0	1		chr3|6763795
chr3:8732870-8736200|-|C230057A21Rik-201	0	1		chr3|8721954
chr3:8743682-8746824|-|Gm37647-201	0	1		chr3|8762687
chr3:8930892-8993890|-|Tpd52-206	0	1		chr3|8997869
chr3:10179851-10183929|-|Pmp2-201	0	1		chr3|10188132
chr3:13288197-13291891|+|Gm37813-201	0	1		chr3|13269902
chr3:13429558-13429958|+|Gm37197-201	0	1		chr3|13417834
chr3:13776848-13777307|+|Ralyl-202	1	0	chr3|13776992	
chr3:14606284-14611285|-|1810022K09Rik-202	0	1		chr3|14618570
chr3:14722416-14729626|+|Gm5843-201	0	1		chr3|14715491
chr3:14802356-14802574|-|Gm16399-201	0	1		chr3|14805460
chr3:14766216-14808365|-|Car1-203	1	0	chr3|14807592	
chr3:15941773-15942833|-|Gm7343-201	0	1		chr3|15937348
chr3:16823249-16823312|-|Gm26485-201	0	1		chr3|16810782
chr3:17269456-17270794|+|Gm6350-201	0	1		chr3|17272963
chr3:17328694-17334425|-|Gm30340-201	0	1		chr3|17333295
chr3:17670688-17671027|+|Gm38154-201	1	0	chr3|17670189	
chr3:17789921-17800073|+|Mir124-2hg-204	1	0	chr3|17789187	
chr3:18008806-18010996|+|Gm5844-201	0	1		chr3|18024348
chr3:18071950-18243338|-|Cyp7b1-201	0	1		chr3|18228533
chr3:18299310-18304139|+|Gm43834-201	0	1		chr3|18298111
chr3:20503098-20506208|-|Gm31466-201	0	1		chr3|20494621
chr3:21049565-21050248|+|Gm7488-201	0	1		chr3|21046244
chr3:24718716-24718981|+|Gm24062-201	0	1		chr3|24705026
chr3:27012764-27012874|+|Gm37659-201	1	0	chr3|27013631	
chr3:27308406-27308674|-|Gm43345-201	0	1		chr3|27297930
chr3:28702667-28781108|-|1700112D23Rik-201	1	0	chr3|28780342	
chr3:29771284-29771422|+|Gm37557-201	0	1		chr3|29757859
chr3:31954764-31957798|+|Gm37834-201	0	1		chr3|31971517
chr3:32156114-32198356|+|Kcnmb2-206	0	1		chr3|32147033
chr3:32580332-32616585|-|Gnb4-205	0	1		chr3|32628023
chr3:32880011-32880608|-|Gm15574-201	0	1		chr3|32886689
chr3:33034228-33037054|-|Gm37443-201	0	1		chr3|33054696
chr3:32949408-33082068|-|Pex5l-205	1	1	chr3|33082445	chr3|33079457
chr3:32949408-33083060|-|Pex5l-211	0	1		chr3|33093967
chr3:33621608-33622403|+|Gm5845-201	0	1		chr3|33602832
chr3:33812362-33844301|-|Ccdc39-201	0	1		chr3|33863475
chr3:34638464-34638542|+|Mir1897-201	1	0	chr3|34638837	
chr3:35413833-35414000|+|Gm43078-201	0	1		chr3|35412644
chr3:35536882-35537800|-|Gm7733-201	0	1		chr3|35520706
chr3:36694802-36695053|-|Gm12377-201	0	2		chr3|36700698,chr3|36710478
chr3:37959612-37960087|-|Gm7799-201	0	1		chr3|37970900
chr3:38449259-38484844|-|Ankrd50-202	0	1		chr3|38489115
chr3:38558137-38558668|-|Gm7824-201	0	1		chr3|38573456
chr3:39128533-39128905|-|Gm43308-201	0	1		chr3|39142870
chr3:39217561-39217846|-|Gm43008-201	0	1		chr3|39209645
chr3:41487679-41493190|-|Platr4-203	0	1		chr3|41490482
chr3:42163865-42167638|+|Gm37846-201	0	1		chr3|42174651
chr3:42362630-42362777|-|Gm38274-201	0	1		chr3|42350159
chr3:43390767-43391937|-|Gm18865-201	0	1		chr3|43401504
chr3:47230538-47231003|-|Rpl23a-ps5-201	0	1		chr3|47221902
chr3:47263078-47265800|-|Gm10730-201	0	1		chr3|47263177
chr3:48078341-48078449|+|Gm37295-201	0	2		chr3|48074343,chr3|48088703
chr3:50029669-50029990|+|Gm37826-201	0	1		chr3|50028095
chr3:50166661-50166892|-|Gm37692-201	0	1		chr3|50184811
chr3:51103660-51105170|+|Gm38246-201	0	1		chr3|51116430
chr3:53488727-53508502|+|Stoml3-201	0	1		chr3|53492904
chr3:53756731-53772950|+|C820005J03Rik-201	1	0	chr3|53755751	
chr3:54361143-54390452|+|Postn-202	0	1		chr3|54368396
chr3:55782510-55785001|+|Mab21l1-201	0	1		chr3|55790938
chr3:57135496-57136831|-|Gm8177-201	0	1		chr3|57121278
chr3:59729790-59752333|+|Gm5538-201	1	0	chr3|59729907	
chr3:60769887-60770455|-|Gm33707-201	0	1		chr3|60779325
chr3:62923807-62924233|-|Gm9701-201	1	0	chr3|62923495	
chr3:64258961-64287417|-|Vmn2r3-201	0	1		chr3|64281049
chr3:64685044-64770657|-|Vmn2r7-204	0	1		chr3|64781383
chr3:65109384-65378219|+|Kcnab1-201	0	1		chr3|65122183
chr3:65771511-65771617|-|Gm25755-201	0	1		chr3|65788791
chr3:65987158-65989753|-|Gm19024-201	1	0	chr3|65989507	
chr3:66099805-66100063|+|Gm36973-201	0	2		chr3|66105792,chr3|66106781
chr3:66053558-66296837|-|Veph1-201	0	1		chr3|66310272
chr3:68547520-68547708|-|Gm22073-201	0	1		chr3|68550365
chr3:68892525-68994537|-|Ift80-201	0	1		chr3|68978030
chr3:71401091-71401547|-|Gm8599-201	0	1		chr3|71381610
chr3:71465229-71465669|-|Gm38305-201	0	1		chr3|71451878
chr3:72603835-72604348|-|Gm37901-201	0	1		chr3|72621431
chr3:72888560-72966866|-|Sis-201	0	1		chr3|72947664
chr3:78006459-78006899|+|Gm6677-201	1	0	chr3|78006453	
chr3:79859293-79886806|-|Gm36569-201	0	1		chr3|79901934
chr3:80054892-80213085|+|A330069K06Rik-201	0	1		chr3|80047498
chr3:83040141-83049863|-|Fgb-201	0	1		chr3|83045226
chr3:83125276-83129246|-|Gm10710-201	0	1		chr3|83143974
chr3:84160440-84259812|-|Trim2-203	0	1		chr3|84254671
chr3:84864145-84979198|+|Fbxw7-203	0	1		chr3|84848970
chr3:86070915-86130526|+|Sh3d19-203	1	0	chr3|86070123	
chr3:86138791-86138858|-|Snord73a-201	0	1		chr3|86136190
chr3:87525407-87540156|+|Etv3-202	0	1		chr3|87516141
chr3:87582672-87582791|-|Gm25167-201	0	1		chr3|87584508
chr3:87968186-87968606|+|Gm3745-201	0	1		chr3|87964828
chr3:89201167-89201273|-|Gm23269-201	0	1		chr3|89195845
chr3:89210425-89213164|+|Gm43737-201	0	1		chr3|89208995
chr3:89271736-89281142|-|Efna1-202	0	1		chr3|89283295
chr3:90198682-90198786|+|Gm24185-201	0	1		chr3|90201330
chr3:90600215-90602702|+|S100a3-201	0	1		chr3|90598031
chr3:90668978-90670035|+|S100a8-201	0	1		chr3|90682313
chr3:90726911-90740514|+|Pglyrp4-201	0	1		chr3|90738720
chr3:92436809-92438789|-|Sprr1b-201	0	1		chr3|92442851
chr3:92500263-92500493|-|Sprr4-201	1	0	chr3|92500590	
chr3:92532505-92534511|-|2310046K23Rik-201	0	1		chr3|92545214
chr3:93014519-93015669|-|Crct1-202	0	1		chr3|93008611
chr3:93144787-93149471|+|Crnn-201	0	1		chr3|93142617
chr3:93277568-93280313|+|Flg-208	1	0	chr3|93277083	
chr3:93305015-93305469|+|Gm37922-201	0	1		chr3|93302109
chr3:93560727-93564450|+|S100a10-203	0	1		chr3|93567128
chr3:93871347-93871542|+|Gm37430-201	0	1		chr3|93857289
chr3:94157631-94158721|-|Gm5543-201	1	1	chr3|94158382	chr3|94144573
chr3:94242464-94243470|-|Gm9141-201	1	0	chr3|94242632	
chr3:94693556-94704413|+|Selenbp2-201	0	1		chr3|94686866
chr3:94760069-94786492|-|Cgn-202	0	1		chr3|94801915
chr3:95006702-95015238|-|Zfp687-201	0	1		chr3|95013771
chr3:95144371-95144906|+|Gm9169-201	1	0	chr3|95144353	
chr3:96375646-96388864|-|Gm17575-201	0	1		chr3|96391258
chr3:96488729-96488893|+|Gm22614-201	0	1		chr3|96492879
chr3:96525172-96529210|+|Hfe2-201	0	1		chr3|96518521
chr3:96706168-96708539|-|Nudt17-201	0	1		chr3|96704989
chr3:97658212-97673812|+|Prkab2-201	0	1		chr3|97661432
chr3:98189966-98191102|-|Gm9771-201	0	1		chr3|98178364
chr3:98552553-98588807|-|Gm10681-202	0	1		chr3|98590735
chr3:98805505-98811108|-|Hsd3b6-202	0	1		chr3|98792463
chr3:99049822-99053744|+|Gm12440-201	0	1		chr3|99051438
chr3:99463592-99463825|-|Gm12449-201	0	1		chr3|99472169
chr3:99500550-99501379|+|M6pr-ps-201	0	1		chr3|99492135
chr3:100582314-100587527|-|Gm43466-201	0	1		chr3|100572425
chr3:101040232-101110278|-|Ptgfrn-201	0	1		chr3|101100891
chr3:101233460-101233895|+|Tpt1-ps1-201	0	1		chr3|101243963
chr3:101576219-101604684|-|Atp1a1-201	0	4		chr3|101602807,chr3|101603046,chr3|101603188,chr3|101603293
chr3:101748124-101750009|+|Gm43134-201	0	40		chr3|101730769,chr3|101730991,chr3|101730992,chr3|101731046,chr3|101731047,chr3|101731065,chr3|101731066,chr3|101731222,chr3|101731255,chr3|101737492,chr3|101737512,chr3|101737612,chr3|101737613,chr3|101737819,chr3|101738246,chr3|101738613,chr3|101741994,chr3|101742092,chr3|101742853,chr3|101742911,chr3|101743256,chr3|101743257,chr3|101751193,chr3|101751468,chr3|101753005,chr3|101755373,chr3|101756383,chr3|101756997,chr3|101759073,chr3|101760235,chr3|101760438,chr3|101760595,chr3|101760596,chr3|101760930,chr3|101761160,chr3|101761804,chr3|101761848,chr3|101761849,chr3|101762048,chr3|101762475
chr3:101813076-101836223|-|Mab21l3-201	0	13		chr3|101824342,chr3|101824382,chr3|101824656,chr3|101825216,chr3|101825232,chr3|101829825,chr3|101830373,chr3|101830404,chr3|101830444,chr3|101833165,chr3|101833296,chr3|101833630,chr3|101833631
chr3:101813683-101848959|-|Mab21l3-202	2	14	chr3|101848849,chr3|101849581	chr3|101847636,chr3|101847637,chr3|101854862,chr3|101854946,chr3|101854947,chr3|101859771,chr3|101861870,chr3|101862153,chr3|101862154,chr3|101862627,chr3|101862628,chr3|101863133,chr3|101866655,chr3|101866656
chr3:101855776-101924393|-|Slc22a15-201	0	21		chr3|101906382,chr3|101908078,chr3|101908087,chr3|101908373,chr3|101908374,chr3|101908620,chr3|101910987,chr3|101911050,chr3|101911983,chr3|101913026,chr3|101914139,chr3|101914393,chr3|101914531,chr3|101914532,chr3|101914550,chr3|101915635,chr3|101916247,chr3|101916699,chr3|101916700,chr3|101919549,chr3|101919550
chr3:101858930-101924449|-|Slc22a15-207	0	16		chr3|101932461,chr3|101932462,chr3|101933453,chr3|101933968,chr3|101934327,chr3|101934328,chr3|101934452,chr3|101934453,chr3|101934543,chr3|101936785,chr3|101937693,chr3|101940565,chr3|101941470,chr3|101941967,chr3|101942152,chr3|101944193
chr3:102010076-102014717|+|Nhlh2-202	0	9		chr3|101992351,chr3|101995621,chr3|101997761,chr3|101998917,chr3|102001373,chr3|102001374,chr3|102003290,chr3|102003291,chr3|102007195
chr3:102010155-102014506|+|Nhlh2-203	0	25		chr3|102015138,chr3|102015408,chr3|102015409,chr3|102017940,chr3|102018588,chr3|102018592,chr3|102018596,chr3|102018600,chr3|102018604,chr3|102018608,chr3|102018612,chr3|102019362,chr3|102019363,chr3|102019434,chr3|102019435,chr3|102019519,chr3|102021155,chr3|102022001,chr3|102022002,chr3|102025918,chr3|102025964,chr3|102026374,chr3|102026375,chr3|102026677,chr3|102028116
chr3:102068050-102068327|+|Gm43243-201	1	14	chr3|102069008	chr3|102048784,chr3|102048785,chr3|102049296,chr3|102049502,chr3|102053380,chr3|102053381,chr3|102057414,chr3|102064000,chr3|102064001,chr3|102065117,chr3|102065118,chr3|102065732,chr3|102070036,chr3|102070037
chr3:102074453-102075146|+|Gm18894-201	5	8	chr3|102073751,chr3|102073752,chr3|102073761,chr3|102074224,chr3|102074230	chr3|102071522,chr3|102072649,chr3|102072708,chr3|102072709,chr3|102073076,chr3|102073077,chr3|102076036,chr3|102077494
chr3:102086415-102146514|+|Casq2-201	0	2		chr3|102081640,chr3|102081671
chr3:102086546-102146514|+|Casq2-205	0	20		chr3|102088749,chr3|102088750,chr3|102088810,chr3|102088811,chr3|102089978,chr3|102089979,chr3|102090282,chr3|102090295,chr3|102091186,chr3|102091736,chr3|102091737,chr3|102092769,chr3|102093328,chr3|102096555,chr3|102100376,chr3|102101953,chr3|102101954,chr3|102102913,chr3|102104483,chr3|102105285
chr3:102129938-102131222|+|Gm43244-201	0	19		chr3|102110293,chr3|102113733,chr3|102115847,chr3|102115848,chr3|102117215,chr3|102117247,chr3|102121582,chr3|102121583,chr3|102121926,chr3|102122735,chr3|102123839,chr3|102123848,chr3|102124107,chr3|102124566,chr3|102125160,chr3|102126225,chr3|102126523,chr3|102126617,chr3|102126618
chr3:102134615-102137496|+|4632404M16Rik-201	1	8	chr3|102134886	chr3|102137156,chr3|102137531,chr3|102137657,chr3|102140294,chr3|102147129,chr3|102147130,chr3|102151689,chr3|102151690
chr3:102203956-102206266|+|Gm16160-201	0	5		chr3|102198223,chr3|102198734,chr3|102198816,chr3|102200982,chr3|102202861
chr3:102153583-102204693|-|Vangl1-201	1	10	chr3|102205633	chr3|102205806,chr3|102205845,chr3|102206260,chr3|102206261,chr3|102208914,chr3|102209970,chr3|102209971,chr3|102216935,chr3|102220923,chr3|102222248
chr3:102249669-102250265|+|Gm43241-201	0	7		chr3|102229934,chr3|102233534,chr3|102234846,chr3|102238856,chr3|102238857,chr3|102241615,chr3|102253816
chr3:102262405-102445132|+|A230001M10Rik-202	1	1	chr3|102261710	chr3|102256806
chr3:102262522-102288771|+|A230001M10Rik-203	1	20	chr3|102262532	chr3|102265126,chr3|102265127,chr3|102266296,chr3|102267405,chr3|102267613,chr3|102272660,chr3|102275383,chr3|102275384,chr3|102277243,chr3|102278923,chr3|102279077,chr3|102279351,chr3|102279352,chr3|102279869,chr3|102279870,chr3|102280080,chr3|102280206,chr3|102281864,chr3|102281891,chr3|102282029
chr3:102369162-102370937|+|Gm43242-201	1	13	chr3|102369147	chr3|102354802,chr3|102356030,chr3|102358769,chr3|102359923,chr3|102361133,chr3|102361438,chr3|102361439,chr3|102361557,chr3|102362696,chr3|102365629,chr3|102371022,chr3|102371026,chr3|102372789
chr3:102389540-102390007|-|Gm43245-201	0	7		chr3|102382682,chr3|102385632,chr3|102386967,chr3|102386968,chr3|102387037,chr3|102409115,chr3|102409116
chr3:102469919-102520848|+|Ngf-201	0	5		chr3|102449920,chr3|102451842,chr3|102453087,chr3|102453088,chr3|102454897
chr3:102469928-102521013|+|Ngf-202	0	2		chr3|102478423,chr3|102479112
chr3:102599373-102601593|+|Gm42678-201	0	4		chr3|102589762,chr3|102589763,chr3|102601043,chr3|102607164
chr3:102685910-102686717|-|Gm19202-201	2	10	chr3|102686391,chr3|102686508	chr3|102667979,chr3|102668728,chr3|102675781,chr3|102675875,chr3|102676160,chr3|102676180,chr3|102676238,chr3|102677147,chr3|102677148,chr3|102677198
chr3:102686735-102686861|-|Gm42677-201	0	2		chr3|102691561,chr3|102697522
chr3:102714252-102715516|+|Gm42682-201	0	3		chr3|102706672,chr3|102708184,chr3|102716449
chr3:102734529-102772292|+|Tspan2-201	0	1		chr3|102728620
chr3:102720231-102735417|-|Tspan2os-201	0	2		chr3|102742711,chr3|102754766
chr3:102777446-102782483|-|Tshb-205	1	2	chr3|102781546	chr3|102765258,chr3|102774588
chr3:102830494-102830818|+|Gm42816-201	0	1		chr3|102829114
chr3:102831590-102831997|+|Gm33952-201	1	0	chr3|102831100	
chr3:102880780-102881068|+|Gm33866-201	0	12		chr3|102866346,chr3|102873718,chr3|102878478,chr3|102878479,chr3|102884339,chr3|102885521,chr3|102886945,chr3|102893917,chr3|102893918,chr3|102899843,chr3|102899844,chr3|102900576
chr3:102818499-102936100|-|Sycp1-201	2	6	chr3|102935498,chr3|102936337	chr3|102923682,chr3|102927224,chr3|102927225,chr3|102937589,chr3|102940207,chr3|102940208
chr3:102951949-102952113|-|Gm22826-201	0	3		chr3|102947690,chr3|102949595,chr3|102949596
chr3:102940870-102958383|-|Nr1h5-203	0	3		chr3|102956407,chr3|102956422,chr3|102956445
chr3:103058285-103067914|+|Nras-201	0	1		chr3|103056641
chr3:103102604-103169769|+|Dennd2c-204	0	2		chr3|103114753,chr3|103114754
chr3:103127556-103169738|+|Dennd2c-202	0	2		chr3|103143507,chr3|103143509
chr3:103171655-103179152|+|Bcas2-201	0	3		chr3|103164172,chr3|103164173,chr3|103170141
chr3:103179689-103180443|-|Gm27024-201	0	1		chr3|103187316
chr3:103198226-103198975|-|2410024N13Rik-201	0	5		chr3|103192682,chr3|103194676,chr3|103195778,chr3|103195779,chr3|103195858
chr3:103246975-103247263|-|Gm43060-201	1	7	chr3|103247435	chr3|103249458,chr3|103249993,chr3|103251271,chr3|103251272,chr3|103255005,chr3|103257388,chr3|103257390
chr3:103279293-103358775|+|Trim33-201	0	3		chr3|103274087,chr3|103274088,chr3|103275180
chr3:103392933-103393034|+|Gm25009-201	0	10		chr3|103382741,chr3|103382884,chr3|103382885,chr3|103389882,chr3|103408073,chr3|103408672,chr3|103409962,chr3|103409984,chr3|103410106,chr3|103410107
chr3:103427437-103427543|+|Gm25869-201	1	7	chr3|103427281	chr3|103410613,chr3|103412428,chr3|103426055,chr3|103434426,chr3|103434490,chr3|103435517,chr3|103435746
chr3:103445697-103445800|-|Gm25199-201	6	4	chr3|103444889,chr3|103445169,chr3|103446009,chr3|103446010,chr3|103446785,chr3|103446786	chr3|103439580,chr3|103439759,chr3|103440408,chr3|103443217
chr3:103575231-103630946|+|Syt6-205	1	31	chr3|103574831	chr3|103557927,chr3|103557933,chr3|103557939,chr3|103557945,chr3|103557947,chr3|103557953,chr3|103557961,chr3|103557967,chr3|103557973,chr3|103557991,chr3|103558051,chr3|103559807,chr3|103559808,chr3|103560392,chr3|103560553,chr3|103561102,chr3|103561743,chr3|103563643,chr3|103564149,chr3|103564646,chr3|103564647,chr3|103564695,chr3|103564738,chr3|103564739,chr3|103565063,chr3|103565425,chr3|103566234,chr3|103566617,chr3|103569709,chr3|103570883,chr3|103571137
chr3:103576142-103627556|+|Syt6-203	0	15		chr3|103578370,chr3|103579190,chr3|103580864,chr3|103581662,chr3|103581810,chr3|103582146,chr3|103586731,chr3|103586732,chr3|103586773,chr3|103586784,chr3|103586802,chr3|103586803,chr3|103588120,chr3|103588576,chr3|103588577
chr3:103601943-103603202|+|Gm43066-201	0	7		chr3|103590333,chr3|103595734,chr3|103598823,chr3|103598824,chr3|103599582,chr3|103618780,chr3|103618825
