TSS	#PromoterCpG	#EnhancerCpG	PromoterCpG	EnhancerCpG
chr11:3125904-3129396|+|Pisd-ps1-203	0	1		chr11|3112289
chr11:3126006-3131004|+|Pisd-ps1-201	0	6		chr11|3128815,chr11|3129105,chr11|3129118,chr11|3132267,chr11|3132415,chr11|3132472
chr11:3142048-3143363|+|Gm11399-201	0	1		chr11|3143951
chr11:3203630-3244586|+|Eif4enif1-204	1	0	chr11|3204046	
chr11:3290457-3309083|+|Patz1-202	0	1		chr11|3296468
chr11:3308996-3320722|+|Gm11944-201	0	3		chr11|3303127,chr11|3311176,chr11|3311693
chr11:3330401-3342971|+|Pik3ip1-201	1	0	chr11|3329661	
chr11:3305426-3331178|-|Gm12592-201	0	1		chr11|3333422
chr11:3353573-3354911|-|Gm11948-201	1	1	chr11|3355282	chr11|3344721
chr11:3344256-3371376|-|Limk2-202	0	3		chr11|3366079,chr11|3380087,chr11|3380105
chr11:3415982-3452363|-|Rnf185-202	0	6		chr11|3442801,chr11|3445026,chr11|3445069,chr11|3445191,chr11|3445227,chr11|3447873
chr11:3474285-3474401|-|Gm24439-201	2	0	chr11|3474357,chr11|3474520	
chr11:3488284-3494166|+|Pla2g3-202	0	1		chr11|3482149
chr11:3517523-3539292|-|Smtn-202	1	2	chr11|3540129	chr11|3548100,chr11|3558106
chr11:3625477-3625848|-|Gm11949-201	0	2		chr11|3622299,chr11|3624173
chr11:3788892-3788990|+|Gm24013-201	1	1	chr11|3787941	chr11|3786626
chr11:3703731-3863903|-|Osbp2-201	0	3		chr11|3844555,chr11|3844591,chr11|3861639
chr11:3886088-3895098|-|4921536K21Rik-201	0	2		chr11|3887448,chr11|3887539
chr11:3895240-3899353|+|Dusp18-202	0	1		chr11|3904716
chr11:3907021-3914664|-|Slc35e4-202	0	1		chr11|3921523
chr11:3917192-3931789|-|Tcn2-206	0	1		chr11|3930073
chr11:3951714-3952716|+|Gm11953-201	0	2		chr11|3943142,chr11|3943946
