TSS	#PromoterCpG	#EnhancerCpG	PromoterCpG	EnhancerCpG
chr14:3892557-3920672|+|Gm2916-201	0	1		chr14|3908101
chr14:4334763-4354688|+|2610042L04Rik-202	1	0	chr14|4335510	
chr14:4792713-4793196|-|Gm3091-201	0	1		chr14|4799780
chr14:7440924-7450917|-|Gm3755-201	0	1		chr14|7441041
chr14:7957288-7960636|+|Gm45521-201	0	1		chr14|7945508
chr14:8296274-8309777|-|Fam107a-203	0	1		chr14|8306292
chr14:8800000-8800335|-|Gm9800-201	0	1		chr14|8792590
chr14:11553532-12242041|+|Ptprg-201	0	1		chr14|11571092
chr14:11867594-11870625|+|Gm48601-201	0	1		chr14|11871640
chr14:11904679-11909158|+|Gm48600-201	0	1		chr14|11906914
chr14:12374585-12384729|+|Gm48239-201	1	0	chr14|12374532	
chr14:12427532-12427641|-|n-R5s45-201	0	1		chr14|12435504
chr14:12769408-12770550|-|Gm48266-201	0	1		chr14|12759837
chr14:12372586-12823045|-|Cadps-201	0	1		chr14|12821046
chr14:13158574-13170902|-|Gm5087-203	0	1		chr14|13187013
chr14:13454029-13615459|+|Synpr-202	0	1		chr14|13457685
chr14:14585369-14589216|-|Gm47678-201	0	1		chr14|14579637
chr14:15063032-15065425|+|Gm47743-201	0	1		chr14|15052953
chr14:15314624-15321874|-|Gm31577-201	0	1		chr14|15323314
chr14:16430839-16575543|-|Rarb-201	0	1		chr14|16561825
chr14:16953606-16954197|+|Gm18078-201	0	1		chr14|16965668
chr14:18574294-18888441|-|Ube2e2-201	0	1		chr14|18881716
chr14:19102467-19104133|+|Gm18275-201	0	1		chr14|19094628
chr14:19401727-19402599|-|Gm9637-201	0	1		chr14|19397614
chr14:19415857-19418930|-|Gm21738-201	0	1		chr14|19417721
chr14:19615130-19628632|+|4930469B13Rik-202	1	0	chr14|19615649	
chr14:19646670-19647054|-|Gm48157-201	1	0	chr14|19646494	
chr14:20057852-20058297|-|Gm48339-201	1	0	chr14|20058597	
chr14:20723737-20731110|-|Ndst2-205	1	0	chr14|20731096	
chr14:20836660-20843385|+|Plau-201	0	1		chr14|20831671
chr14:21868630-21889766|-|4931407E12Rik-201	0	1		chr14|21903003
chr14:21992436-21996100|+|C130012C08Rik-201	0	1		chr14|21993713
chr14:23038194-23094571|-|Gm10248-201	0	1		chr14|23099237
chr14:23289431-23803304|-|Kcnma1-207	0	1		chr14|23820603
chr14:24069734-24070637|+|Gm6158-201	0	1		chr14|24055446
chr14:24088877-24088930|+|Mir7210-201	0	1		chr14|24093116
chr14:24375653-24377252|-|Gm47774-201	0	1		chr14|24368002
chr14:24833635-24835089|+|Gm47906-201	0	2		chr14|24837215,chr14|24839718
chr14:25441641-25453229|+|Gm17747-201	0	1		chr14|25421833
chr14:26302705-26304913|+|Gm18578-201	0	1		chr14|26294268
chr14:27000362-27002329|+|Hesx1-201	1	0	chr14|27000441	
chr14:27238062-27240494|+|Gm49616-201	0	1		chr14|27253526
chr14:27336066-27403911|+|Arhgef3-202	0	1		chr14|27317450
chr14:28905247-28969471|-|Cacna2d3-208	0	1		chr14|28961340
chr14:29978418-30006354|+|Actr8-204	1	0	chr14|29978792	
chr14:29996135-30008896|-|Il17rb-202	0	1		chr14|30005432
chr14:30549131-30574720|+|Tkt-201	0	1		chr14|30536247
chr14:30825590-30877210|+|Tmem110-201	0	1		chr14|30828712
chr14:30929180-30943289|-|Itih1-202	0	1		chr14|30944486
chr14:31139013-31168641|-|Stab1-201	0	2		chr14|31153347,chr14|31165220
chr14:31552905-31640878|-|Gm49387-201	0	1		chr14|31631520
chr14:32786027-32817187|+|Tmem273-202	0	1		chr14|32788749
chr14:34170655-34171122|+|Rpl23a-ps3-201	1	0	chr14|34171651	
chr14:34529458-34588481|-|Ldb3-208	0	1		chr14|34570869
chr14:34661707-34662704|+|Gm49024-201	1	0	chr14|34660996	
chr14:34768956-34770055|-|Gm49032-201	0	1		chr14|34784178
chr14:34894609-34894706|+|Mir346-201	0	1		chr14|34912419
chr14:37182204-37183065|-|Gm18834-201	0	1		chr14|37172270
chr14:37465822-37467898|-|Gm47971-201	0	1		chr14|37473823
chr14:37722117-37722937|+|Gm5203-201	0	2		chr14|37718927,chr14|37737404
chr14:38074111-38074901|+|Gm18523-201	1	0	chr14|38074617	
chr14:38522049-38532311|+|Gm20641-201	0	1		chr14|38533227
chr14:39220071-39250430|+|Gm20642-201	0	1		chr14|39215155
chr14:39655663-39685293|+|1700109I08Rik-201	0	1		chr14|39670945
chr14:40813789-40853305|-|Sh2d4b-201	0	1		chr14|40868291
chr14:43010188-43015628|-|Gm10376-202	0	1		chr14|43023130
chr14:43131404-43146687|+|Gm49135-201	1	0	chr14|43131076	
chr14:43766461-43861032|+|AC154806.1-202	0	1		chr14|43757382
chr14:44365357-44370841|+|Gm8229-201	0	1		chr14|44370147
chr14:44500122-44506345|+|BC061237-201	0	1		chr14|44503065
chr14:44472516-44535359|-|Gm17184-202	0	1		chr14|44540776
chr14:45541173-45543567|-|Gm41144-201	0	1		chr14|45538329
chr14:45944000-45991037|-|Gm49192-201	0	1		chr14|45999892
chr14:46461162-46463520|-|Gm48911-201	0	2		chr14|46461176,chr14|46469695
chr14:46607552-46608952|+|Gm18761-201	0	1		chr14|46605330
chr14:46877998-46880702|-|Gm34934-201	0	1		chr14|46879676
chr14:47116296-47120439|+|Gm49132-201	0	1		chr14|47131248
chr14:47472561-47531954|+|Fbxo34-201	1	0	chr14|47471847	
chr14:48387114-48388005|-|Gm18962-201	0	1		chr14|48380934
chr14:48727414-48740809|-|Gm49156-201	0	1		chr14|48752462
chr14:49802785-49807277|+|Gm8417-201	0	1		chr14|49799522
chr14:50083714-50084679|-|Olfr726-201	0	1		chr14|50074145
chr14:50870363-50880488|+|Gm26782-203	0	1		chr14|50856866
chr14:51142870-51144117|-|1810028F09Rik-201	0	1		chr14|51142854
chr14:51428763-51432043|+|Vmn2r-ps111-203	0	1		chr14|51425431
chr14:51893610-51896745|+|Slc39a2-201	0	5		chr14|51897569,chr14|51899693,chr14|51900214,chr14|51900745,chr14|51900746
chr14:51905271-51913430|-|Ndrg2-201	0	13		chr14|51903753,chr14|51903755,chr14|51903758,chr14|51903760,chr14|51905409,chr14|51905485,chr14|51908271,chr14|51908987,chr14|51910490,chr14|51910711,chr14|51911139,chr14|51911333,chr14|51911818
chr14:51918425-51920700|+|Tppp2-201	1	3	chr14|51917431	chr14|51916627,chr14|51916628,chr14|51917203
chr14:51918761-51920699|+|Tppp2-202	0	1		chr14|51920702
chr14:51921362-51922773|-|Rnase13-201	2	1	chr14|51922389,chr14|51922390	chr14|51925325
chr14:51926264-51929660|-|Gm49076-201	7	33	chr14|51930044,chr14|51930130,chr14|51930171,chr14|51930315,chr14|51930373,chr14|51930435,chr14|51930447	chr14|51926753,chr14|51926994,chr14|51926995,chr14|51927039,chr14|51927104,chr14|51927109,chr14|51927110,chr14|51927599,chr14|51927988,chr14|51928097,chr14|51928098,chr14|51928220,chr14|51928221,chr14|51928427,chr14|51931547,chr14|51932030,chr14|51933240,chr14|51933608,chr14|51933886,chr14|51933900,chr14|51937547,chr14|51938233,chr14|51938684,chr14|51939013,chr14|51939277,chr14|51939278,chr14|51939328,chr14|51940889,chr14|51940890,chr14|51944429,chr14|51944430,chr14|51945634,chr14|51947167
chr14:51984838-52006251|+|Arhgef40-201	0	6		chr14|51978627,chr14|51978628,chr14|51979649,chr14|51979650,chr14|51983322,chr14|51983323
chr14:51986425-51988827|-|Gm16617-201	0	4		chr14|51990955,chr14|51992357,chr14|51993419,chr14|51998766
chr14:52006077-52014582|-|Zfp219-204	0	5		chr14|52002287,chr14|52002288,chr14|52002609,chr14|52008119,chr14|52008261
chr14:52023284-52024108|+|Gm49256-201	0	6		chr14|52025148,chr14|52025276,chr14|52025277,chr14|52025620,chr14|52027047,chr14|52028783
chr14:52035082-52036143|-|Olfr221-203	3	21	chr14|52035440,chr14|52035569,chr14|52035939	chr14|52030109,chr14|52030110,chr14|52030742,chr14|52030937,chr14|52030938,chr14|52030967,chr14|52030968,chr14|52032206,chr14|52032422,chr14|52032470,chr14|52032471,chr14|52032611,chr14|52032612,chr14|52033418,chr14|52033419,chr14|52033937,chr14|52033938,chr14|52034916,chr14|52035019,chr14|52037839,chr14|52037840
chr14:52033962-52039853|-|Olfr221-205	1	5	chr14|52039556	chr14|52038225,chr14|52038246,chr14|52038506,chr14|52038606,chr14|52038773
chr14:52033962-52042459|-|Olfr221-201	0	26		chr14|52046018,chr14|52046370,chr14|52046371,chr14|52046706,chr14|52046707,chr14|52046745,chr14|52047306,chr14|52047307,chr14|52047366,chr14|52047367,chr14|52047679,chr14|52047690,chr14|52047697,chr14|52047758,chr14|52048103,chr14|52048173,chr14|52048745,chr14|52049098,chr14|52049622,chr14|52049688,chr14|52051823,chr14|52051894,chr14|52051895,chr14|52052888,chr14|52053856,chr14|52054467
chr14:52069300-52069369|+|Gm22354-201	2	14	chr14|52068299,chr14|52068467	chr14|52057223,chr14|52057224,chr14|52058725,chr14|52060717,chr14|52061735,chr14|52064920,chr14|52065724,chr14|52066395,chr14|52066487,chr14|52066971,chr14|52067329,chr14|52067330,chr14|52067621,chr14|52068298
chr14:52069471-52070019|+|Gm8586-201	4	2	chr14|52069558,chr14|52069651,chr14|52069654,chr14|52069655	chr14|52070578,chr14|52070583
chr14:52071523-52071927|-|Gm49258-201	1	8	chr14|52072147	chr14|52078690,chr14|52081001,chr14|52084464,chr14|52084465,chr14|52085344,chr14|52087133,chr14|52087420,chr14|52087421
chr14:52074799-52103969|-|Hnrnpc-207	0	8		chr14|52089566,chr14|52090963,chr14|52090964,chr14|52096123,chr14|52098995,chr14|52102463,chr14|52102464,chr14|52102615
chr14:52073377-52104028|-|Hnrnpc-201	0	1		chr14|52105582
chr14:52110704-52161307|+|Rpgrip1-202	6	2	chr14|52109763,chr14|52109834,chr14|52109892,chr14|52109930,chr14|52110293,chr14|52110526	chr14|52107425,chr14|52107693
chr14:52112157-52160218|+|Rpgrip1-213	4	24	chr14|52112410,chr14|52112411,chr14|52112507,chr14|52112508	chr14|52114518,chr14|52114519,chr14|52116912,chr14|52116913,chr14|52117286,chr14|52118516,chr14|52118746,chr14|52119843,chr14|52121792,chr14|52122097,chr14|52124413,chr14|52124546,chr14|52124601,chr14|52124699,chr14|52125415,chr14|52126344,chr14|52129063,chr14|52129755,chr14|52129756,chr14|52129934,chr14|52131051,chr14|52131408,chr14|52131718,chr14|52131719
chr14:52160414-52197416|-|Supt16-201	0	12		chr14|52179928,chr14|52180362,chr14|52180363,chr14|52181994,chr14|52181995,chr14|52187037,chr14|52187038,chr14|52188560,chr14|52188561,chr14|52191361,chr14|52192584,chr14|52192585
chr14:52209785-52209894|-|Snord8-201	5	10	chr14|52209304,chr14|52209890,chr14|52209891,chr14|52210885,chr14|52210886	chr14|52213434,chr14|52213435,chr14|52218287,chr14|52218288,chr14|52218324,chr14|52218325,chr14|52222452,chr14|52222453,chr14|52222566,chr14|52222567
chr14:52198151-52237572|-|Chd8-201	0	14		chr14|52226629,chr14|52226630,chr14|52231244,chr14|52232499,chr14|52233393,chr14|52233415,chr14|52233416,chr14|52235788,chr14|52239294,chr14|52239295,chr14|52239425,chr14|52239648,chr14|52242301,chr14|52242302
chr14:52198151-52257780|-|Chd8-212	0	12		chr14|52247774,chr14|52248320,chr14|52248929,chr14|52248930,chr14|52249321,chr14|52249322,chr14|52250005,chr14|52252170,chr14|52252171,chr14|52255361,chr14|52255362,chr14|52255897
chr14:52258811-52264227|+|Gm43766-201	1	3	chr14|52259688	chr14|52264045,chr14|52266524,chr14|52267609
chr14:52276531-52276620|+|Gm23758-201	0	4		chr14|52271410,chr14|52271411,chr14|52274129,chr14|52274130
chr14:52261759-52279545|-|Rab2b-201	0	9		chr14|52283026,chr14|52283428,chr14|52283429,chr14|52284012,chr14|52285367,chr14|52285928,chr14|52285929,chr14|52289151,chr14|52291621
chr14:52294841-52305128|-|Mettl3-201	0	17		chr14|52294957,chr14|52294958,chr14|52297845,chr14|52297846,chr14|52298235,chr14|52298236,chr14|52299368,chr14|52299369,chr14|52299373,chr14|52299374,chr14|52299626,chr14|52300123,chr14|52300324,chr14|52300478,chr14|52300869,chr14|52303328,chr14|52309458
chr14:52311172-52316323|-|Sall2-202	0	5		chr14|52311863,chr14|52314427,chr14|52317626,chr14|52321637,chr14|52321856
chr14:52311177-52328762|-|Sall2-201	2	7	chr14|52329683,chr14|52329684	chr14|52325520,chr14|52326326,chr14|52327185,chr14|52330432,chr14|52332060,chr14|52332513,chr14|52334050
chr14:52342777-52342883|+|Gm26328-201	1	7	chr14|52342683	chr14|52338302,chr14|52338303,chr14|52340372,chr14|52344682,chr14|52345322,chr14|52345339,chr14|52345718
chr14:52349103-52350044|-|Olfr1513-201	2	7	chr14|52349750,chr14|52350365	chr14|52346642,chr14|52348505,chr14|52348506,chr14|52351655,chr14|52352366,chr14|52352992,chr14|52352993
chr14:52347495-52356408|-|Olfr1513-202	3	14	chr14|52356607,chr14|52357196,chr14|52357351	chr14|52353457,chr14|52353458,chr14|52353574,chr14|52353575,chr14|52354556,chr14|52354910,chr14|52354911,chr14|52354953,chr14|52354954,chr14|52355206,chr14|52357483,chr14|52358091,chr14|52358197,chr14|52358460
