TSS	#PromoterCpG	#EnhancerCpG	PromoterCpG	EnhancerCpG
chr6:3207869-3208706|+|Gm2651-201	0	6		chr6|3200774,chr6|3200779,chr6|3200782,chr6|3200785,chr6|3200798,chr6|3200830
chr6:4506087-4507878|+|Gm43921-201	0	1		chr6|4507917
chr6:5383386-5433022|+|Asb4-201	0	1		chr6|5366037
chr6:6041218-6217118|-|Slc25a13-201	0	1		chr6|6205827
chr6:6248659-6281139|+|Gm20619-205	1	0	chr6|6248633	
chr6:8501236-8501356|-|Gm26075-201	0	3		chr6|8495719,chr6|8495720,chr6|8505317
chr6:12099710-12100269|-|Gm6578-202	0	5		chr6|12082120,chr6|12082875,chr6|12082953,chr6|12082954,chr6|12083042
chr6:12857397-12858390|+|Gm15529-201	0	1		chr6|12874992
chr6:13580687-13608100|-|Tmem168-201	0	1		chr6|13597376
chr6:13913155-13913448|-|Gm44412-201	0	1		chr6|13901367
chr6:16833373-16898441|-|Tfec-201	0	1		chr6|16883693
chr6:17463800-17573980|+|Met-203	0	1		chr6|17459765
chr6:17491241-17571823|+|Met-201	0	2		chr6|17484704,chr6|17508754
chr6:17636983-17666972|+|Capza2-201	0	3		chr6|17628552,chr6|17635543,chr6|17642603
chr6:17747522-17748900|-|Gm42852-201	1	4	chr6|17747929	chr6|17747748,chr6|17747777,chr6|17747785,chr6|17747819
chr6:17749216-17943020|+|St7-206	0	2		chr6|17764434,chr6|17764487
chr6:21949657-21974903|+|Ing3-202	0	2		chr6|21958217,chr6|21959243
chr6:21986596-22124036|+|Cped1-201	0	1		chr6|22005120
chr6:22307882-22356243|-|Fam3c-201	0	1		chr6|22358450
chr6:23165341-23167414|-|Gm5301-201	0	1		chr6|23183310
chr6:23969161-23970060|-|Tas2r118-201	0	2		chr6|23986548,chr6|23987661
chr6:28240240-28398005|-|Zfp800-201	0	1		chr6|28402299
chr6:28480359-28935162|+|Snd1-206	0	3		chr6|28482358,chr6|28486417,chr6|28486723
