TSS	#PromoterCpG	#EnhancerCpG	PromoterCpG	EnhancerCpG
chr4:3103759-3104592|-|Vmn1r-ps2-201	0	3		chr4|3094934,chr4|3118239,chr4|3120641
chr4:3139141-3140057|-|Vmn1r-ps3-201	0	3		chr4|3143659,chr4|3150083,chr4|3150116
chr4:3184348-3185358|-|Vmn1r3-201	0	4		chr4|3184226,chr4|3198158,chr4|3198302,chr4|3198408
chr4:3246005-3258092|+|AI838599-201	0	14		chr4|3231614,chr4|3231648,chr4|3231809,chr4|3233035,chr4|3233782,chr4|3233860,chr4|3233887,chr4|3234418,chr4|3234480,chr4|3234523,chr4|3234602,chr4|3235410,chr4|3250288,chr4|3250351
chr4:3327175-3327329|+|Gm11786-201	0	4		chr4|3322550,chr4|3323921,chr4|3329415,chr4|3335369
chr4:3386846-3388691|+|Gm11784-201	0	4		chr4|3371842,chr4|3391823,chr4|3391914,chr4|3397441
chr4:3455702-3456302|+|Gm11785-201	0	3		chr4|3451420,chr4|3451421,chr4|3474987
chr4:3496978-3516515|-|Gm11787-201	0	2		chr4|3508354,chr4|3510669
chr4:3619189-3619315|+|Gm22541-201	0	3		chr4|3625688,chr4|3626805,chr4|3627103
chr4:3656508-3663108|+|2210414B05Rik-201	0	7		chr4|3649659,chr4|3650041,chr4|3650084,chr4|3651509,chr4|3651516,chr4|3651623,chr4|3653517
chr4:3678117-3689548|-|Gm26857-201	0	1		chr4|3695469
chr4:3720427-3721026|-|Gm11805-201	0	6		chr4|3705426,chr4|3722824,chr4|3722947,chr4|3723168,chr4|3723193,chr4|3725125
chr4:3796447-3796583|-|Gm22781-201	1	0	chr4|3797547	
chr4:3835079-3835146|-|Gm24016-201	1	3	chr4|3834484	chr4|3827148,chr4|3827149,chr4|3827216
chr4:3870657-3872105|-|Mos-201	7	1	chr4|3871333,chr4|3871425,chr4|3871429,chr4|3871463,chr4|3871464,chr4|3871468,chr4|3872052	chr4|3870606
chr4:4138321-4188703|+|A830012C17Rik-201	0	2		chr4|4126578,chr4|4126579
chr4:4133531-4138477|-|Penk-201	1	0	chr4|4139399	
chr4:4729573-4729704|+|Gm26436-201	0	2		chr4|4723871,chr4|4724162
chr4:4762484-4793355|-|Impad1-201	0	6		chr4|4791430,chr4|4791912,chr4|4792192,chr4|4792203,chr4|4792228,chr4|4792236
chr4:5644121-5801101|+|Fam110b-201	0	2		chr4|5645140,chr4|5646187
chr4:5687677-5687802|-|Gm24337-201	1	1	chr4|5688402	chr4|5700512
chr4:5724312-5801101|+|Fam110b-202	0	3		chr4|5718385,chr4|5728313,chr4|5728314
chr4:6191098-6221688|+|Ubxn2b-201	0	6		chr4|6193321,chr4|6197460,chr4|6197461,chr4|6197500,chr4|6197510,chr4|6209560
chr4:6352105-6357530|-|4930430E12Rik-201	0	2		chr4|6359848,chr4|6359849
chr4:6365650-6396284|+|Sdcbp-201	0	1		chr4|6363593
chr4:6365713-6408423|+|Sdcbp-204	0	2		chr4|6370201,chr4|6370257
chr4:6378018-6378292|+|Gm37689-201	0	13		chr4|6374097,chr4|6383542,chr4|6383543,chr4|6383557,chr4|6383558,chr4|6383707,chr4|6383748,chr4|6383876,chr4|6384181,chr4|6387995,chr4|6387996,chr4|6388675,chr4|6389988
chr4:6396207-6454271|-|Nsmaf-201	13	14	chr4|6454472,chr4|6454729,chr4|6454730,chr4|6454774,chr4|6454872,chr4|6454873,chr4|6454878,chr4|6454919,chr4|6454920,chr4|6455087,chr4|6455088,chr4|6455129,chr4|6455130	chr4|6444045,chr4|6444046,chr4|6444214,chr4|6444460,chr4|6444497,chr4|6444510,chr4|6444789,chr4|6445511,chr4|6449180,chr4|6451480,chr4|6451666,chr4|6452112,chr4|6458820,chr4|6469158
chr4:6507941-6508384|-|Gm11803-201	0	4		chr4|6491944,chr4|6512983,chr4|6513000,chr4|6513367
chr4:6539561-6540306|+|Gm11801-201	0	1		chr4|6533515
chr4:7560688-7573801|+|8430436N08Rik-201	0	7		chr4|7550942,chr4|7567869,chr4|7567870,chr4|7567907,chr4|7567908,chr4|7567961,chr4|7567962
chr4:7759670-7763930|+|Gm11795-201	0	2		chr4|7742473,chr4|7750796
chr4:8143362-8239041|-|Car8-201	3	1	chr4|8239359,chr4|8239378,chr4|8239385	chr4|8250648
chr4:8438522-8454247|-|Gm37386-201	0	1		chr4|8452266
chr4:8535644-8607778|+|Rab2a-201	0	5		chr4|8515664,chr4|8523555,chr4|8523674,chr4|8523682,chr4|8523706
chr4:8672633-8673582|-|Gm11809-201	0	2		chr4|8663117,chr4|8667269
chr4:8690921-8866810|+|Chd7-201	0	1		chr4|8689611
chr4:8751438-8867224|+|Chd7-206	0	8		chr4|8738220,chr4|8745323,chr4|8745379,chr4|8745380,chr4|8745609,chr4|8770415,chr4|8770443,chr4|8770444
chr4:8941259-8941656|+|Rps18-ps2-201	0	14		chr4|8921979,chr4|8922103,chr4|8922109,chr4|8922120,chr4|8922135,chr4|8922142,chr4|8922144,chr4|8922149,chr4|8922196,chr4|8922198,chr4|8922296,chr4|8922303,chr4|8928518,chr4|8957817
chr4:9210003-9210108|+|Gm23423-201	1	2	chr4|9209045	chr4|9211731,chr4|9215010
chr4:9269317-9451691|+|Clvs1-201	3	0	chr4|9269279,chr4|9269305,chr4|9269338	
chr4:9267323-9269915|-|Gm26548-201	1	0	chr4|9269705	
chr4:9271455-9451691|+|Clvs1-202	2	0	chr4|9271432,chr4|9271560	
chr4:9285827-9287333|-|Gm11816-201	0	1		chr4|9285817
chr4:9575267-9643717|-|Asph-207	0	6		chr4|9632297,chr4|9634443,chr4|9648981,chr4|9648990,chr4|9649047,chr4|9649329
chr4:9449079-9669162|-|Asph-202	0	12		chr4|9657481,chr4|9657558,chr4|9657570,chr4|9657575,chr4|9657589,chr4|9657591,chr4|9657593,chr4|9657595,chr4|9657989,chr4|9658135,chr4|9658738,chr4|9663131
chr4:9449079-9669344|-|Asph-211	1	1	chr4|9669724	chr4|9672219
chr4:9695645-9695807|-|Gm24152-201	0	1		chr4|9683106
