TSS	#PromoterCpG	#EnhancerCpG	PromoterCpG	EnhancerCpG
chr12:3023883-3025753|+|Gm9071-201	1	3	chr12|3023738	chr12|3013956,chr12|3013957,chr12|3016258
chr12:3171874-3201049|+|Gm9077-201	0	13		chr12|3153606,chr12|3153622,chr12|3153623,chr12|3153636,chr12|3153732,chr12|3153862,chr12|3153873,chr12|3153950,chr12|3153963,chr12|3153964,chr12|3154223,chr12|3154224,chr12|3158836
chr12:3216912-3228147|+|Gm18774-201	0	2		chr12|3210442,chr12|3222916
chr12:3235504-3241410|+|Rab10os-203	1	0	chr12|3235500	
chr12:3247428-3309969|-|Rab10-201	0	1		chr12|3308208
chr12:3403878-3427011|-|1110002L01Rik-202	0	1		chr12|3442142
chr12:3954951-3960573|+|Pomc-204	0	3		chr12|3950513,chr12|3953237,chr12|3968819
chr12:3984665-3985422|+|Gm48001-201	0	1		chr12|3977506
chr12:3962554-4038915|-|Efr3b-201	0	5		chr12|4034387,chr12|4040259,chr12|4043054,chr12|4053826,chr12|4053879
chr12:4077403-4077624|-|Gm48122-201	0	1		chr12|4060956
chr12:4689402-4689926|-|Gm17541-201	0	1		chr12|4680198
chr12:4833793-4841435|-|Fkbp1b-202	0	1		chr12|4839257
chr12:4863072-4874358|-|Mfsd2b-204	5	1	chr12|4873513,chr12|4873663,chr12|4873706,chr12|4873798,chr12|4873831	chr12|4873242
chr12:4917404-5047394|+|Atad2b-201	0	2		chr12|4919268,chr12|4919269
chr12:5066832-5067448|-|Gm9110-201	0	6		chr12|5073990,chr12|5079785,chr12|5082833,chr12|5083065,chr12|5086682,chr12|5086683
chr12:5235156-5235964|-|Gm48532-201	0	12		chr12|5220480,chr12|5224570,chr12|5225428,chr12|5228526,chr12|5230720,chr12|5234300,chr12|5238357,chr12|5240197,chr12|5248267,chr12|5251973,chr12|5252114,chr12|5255535
