TSS	#PromoterCpG	#EnhancerCpG	PromoterCpG	EnhancerCpG
chr1:3073253-3074322|+|4933401J01Rik-201	1	0	chr1|3072449	
chr1:3102016-3102125|+|Gm26206-201	0	3		chr1|3115563,chr1|3117048,chr1|3117565
chr1:3375556-3377788|-|Gm37363-201	0	2		chr1|3383656,chr1|3389870
chr1:3466587-3513553|+|Gm1992-201	1	1	chr1|3466687	chr1|3452901
chr1:3531795-3532720|+|Gm7341-201	0	2		chr1|3533460,chr1|3534624
chr1:3592892-3595903|-|Gm38148-201	0	2		chr1|3581927,chr1|3607743
chr1:3647309-3658904|-|Gm19938-201	0	3		chr1|3650285,chr1|3654256,chr1|3654379
chr1:3214482-3671498|-|Xkr4-201	0	2		chr1|3668114,chr1|3669207
chr1:3680155-3681788|+|Gm10568-201	0	2		chr1|3690579,chr1|3691999
chr1:3752010-3754360|+|Gm38385-201	1	0	chr1|3751604	
chr1:3783876-3783933|-|Gm27396-201	0	3		chr1|3778175,chr1|3786929,chr1|3788748
chr1:3984225-3985984|-|Gm37381-201	0	1		chr1|3980507
chr1:4256234-4260519|-|Gm6101-201	0	1		chr1|4241935
chr1:4344146-4360314|-|Rp1-201	0	1		chr1|4357987
chr1:4363346-4364829|-|Gm37483-201	1	0	chr1|4364834	
chr1:4292981-4409187|-|Rp1-202	0	1		chr1|4405189
chr1:3999557-4409241|-|Rp1-203	0	2		chr1|4424493,chr1|4424720
chr1:4610471-4611406|+|Gm7369-201	0	1		chr1|4613589
chr1:4807823-4846739|+|Lypla1-201	0	1		chr1|4804376
chr1:4905751-4906861|-|Gm37277-201	0	1		chr1|4900901
chr1:4927028-4927299|-|Gm17100-201	1	0	chr1|4927984	
chr1:4938576-4940710|-|Gm37079-201	0	1		chr1|4938291
chr1:5276106-5277337|-|Gm7182-201	0	2		chr1|5282981,chr1|5283178
chr1:5307739-5310017|+|Gm37567-201	0	3		chr1|5310181,chr1|5312119,chr1|5315487
chr1:5403547-5405578|+|Gm38264-201	0	2		chr1|5405881,chr1|5418050
chr1:5588493-5606131|+|Oprk1-204	0	1		chr1|5579224
chr1:5588941-5604014|+|Oprk1-203	0	3		chr1|5598910,chr1|5600852,chr1|5601692
chr1:5617837-5618230|-|Gm36965-201	0	1		chr1|5625233
chr1:5842874-5844672|-|Gm37429-201	0	4		chr1|5833305,chr1|5834382,chr1|5834998,chr1|5856580
chr1:6048963-6050045|-|Gm19214-201	0	2		chr1|6065979,chr1|6066487
chr1:6359218-6394731|+|Alkal1-201	0	2		chr1|6349831,chr1|6363022
chr1:6382634-6383106|-|Gm7417-201	0	1		chr1|6397498
chr1:6429655-6441296|-|Gm19026-201	0	5		chr1|6440221,chr1|6454103,chr1|6454401,chr1|6454605,chr1|6458288
chr1:6487231-6860934|+|St18-208	0	2		chr1|6478261,chr1|6484795
chr1:6730051-6860940|+|St18-201	0	2		chr1|6726863,chr1|6728975
chr1:6737575-6860940|+|St18-213	0	1		chr1|6747630
chr1:6861237-6864151|-|Gm42492-201	1	0	chr1|6863680	
chr1:6910560-6911222|+|Gm7449-201	0	2		chr1|6905906,chr1|6908020
chr1:6929759-6929788|+|Gm37275-201	1	0	chr1|6930603	
chr1:7035915-7037217|+|Gm5694-201	0	1		chr1|7036999
chr1:7148110-7152137|+|Gm38372-201	0	1		chr1|7146643
chr1:7189742-7189919|-|Nras-ps2-201	0	1		chr1|7207403
chr1:7265803-7265932|+|Gm23274-201	0	4		chr1|7251598,chr1|7264454,chr1|7271599,chr1|7271652
chr1:7315451-7316462|+|Gm19002-201	0	2		chr1|7298328,chr1|7301611
chr1:7410679-7411993|+|Gm18984-201	0	4		chr1|7407256,chr1|7414368,chr1|7429535,chr1|7430297
chr1:7497968-7518149|+|Gm30414-201	0	1		chr1|7491445
chr1:7591646-7591931|+|Gm37791-201	0	1		chr1|7593926
chr1:7664081-7664961|+|Rps2-ps2-201	1	1	chr1|7663128	chr1|7682256
chr1:7728861-7730565|-|Gm38216-201	0	4		chr1|7713055,chr1|7727652,chr1|7732442,chr1|7744576
chr1:8450960-8453491|-|Gm38024-201	0	1		chr1|8440636
chr1:8468426-8468825|-|Gm16284-201	0	1		chr1|8486690
chr1:8527780-8531313|-|Gm38259-201	0	1		chr1|8543372
chr1:8588615-8588724|-|Gm23358-201	0	3		chr1|8583016,chr1|8584488,chr1|8585119
chr1:8643696-8644859|-|Gm37005-201	0	4		chr1|8627128,chr1|8630765,chr1|8648833,chr1|8653861
chr1:8815842-8816039|+|Gm36964-201	0	1		chr1|8810810
chr1:8816138-8816247|+|Gm24276-201	0	1		chr1|8818175
